# slide|column|x|y|width|height|text
1|1|0.12097|0.52471|0.67204|0.01458|DELAFINCA SPECIALTY COFFEE / NICARAGUA
1|1|0.11828|0.48692|0.77688|0.01453|OTTOMAN COFFEE HOUSE/UNITED KINGDOM NEW ENTRY
1|1|0.11828|0.45058|0.41667|0.01453|CASA CANELA / VENEZUELA
1|1|0.12097|0.41279|0.47581|0.01599|ESPRESSO LAB / SOUTH AFRICA
1|1|0.11828|0.37643|0.40323|0.01456|SEVEN MYSTERY / CANADA
1|1|0.79839|0.37929|0.09677|0.00734|NEW ENTRY
1|1|0.11828|0.34|0.19355|0.015|FARO / ITALY
1|1|0.12097|0.30071|0.28763|0.01643|DOMESTIQUE / USA
1|1|0.12097|0.26429|0.39247|0.01643|HARVEST COFFEE / QATAR
1|1|0.79839|0.26857|0.09677|0.00929|NEW ENTRY
1|1|0.12097|0.22786|0.56989|0.01643|ORIGEN TOSTADORES DE CAFE / PERU
1|1|0.12097|0.19041|0.51882|0.01602|KEEP COFFEE ROASTERY / TAIWAN
1|1|0.79839|0.19622|0.09677|0.00735|NEW ENTRY
1|1|0.12097|0.15407|0.41935|0.01599|MEET LAB COFFEE / TURKEY
1|1|0.12097|0.11773|0.52688|0.01599|MULANO COFFEE SHOP / ECUADOR
1|1|0.79839|0.12064|0.09677|0.00872|NEW ENTRY
1|1|0.12097|0.0814|0.33065|0.01453|LA CABRA / DENMARK
1|1|0.12097|0.04357|0.51075|0.01602|BIRCH COFFEE / UNITED KINGDOM
1|1|0.79833|0.04636|0.09688|0.01048|NEW ENTRY
2|0|0.1008|0.64826|0.03714|0.01599|59
2|0|0.09814|0.15262|0.04775|0.02471|72
2|0|0.09814|0.11628|0.04509|0.02326|$73
2|0|0.1618|0.94331|0.5305|0.01617|RULI COFFEE / REPUBLIC OF KOREA
2|0|0.1618|0.90521|0.48011|0.01664|ATTE FOR COFFEE / GUATEMALA
2|0|0.15915|0.86758|0.33156|0.01468|SINGLE O / AUSTRALIA
2|0|0.1618|0.8314|0.55172|0.01453|RUBIA COFFEE ROASTERS / RWANDA
2|0|0.1618|0.7936|0.42971|0.01609|BOB COFFEE LAB / ROMANIA
2|0|0.1618|0.75581|0.4695|0.01626|UNFILTERED COFFEE / IRELAND
2|0|0.15915|0.71925|0.62865|0.01476|TOMORROW COFFEE ROASTERS / TAIWAN
2|0|0.1618|0.68162|0.50133|0.01605|CA PASSE CREME / SWITZERLAND
2|0|0.1565|0.6439|0.28117|0.01457|ECO MAPU / CHILE
2|0|0.1618|0.6061|0.37401|0.01618|43.12 COFFEE / BULGARIA
2|0|0.1618|0.56657|0.4244|0.02098|FIKA & CO. CAFE / THAILAND
2|0|0.1618|0.53039|0.57825|0.02339|DITTA ARTIGIANALE SPECIALTY / ITALY
2|0|0.1618|0.52315|0.28647|0.01318|COFFEE ROASTERS
2|0|0.1618|0.49419|0.40053|0.01599|CAFÉ NATIVO / HONDURAS
2|0|0.1618|0.4564|0.36605|0.01611|CAFERATTO / COLOMBIA
2|0|0.1618|0.4186|0.53846|0.01772|KROSS COFFEE ROASTERS / GREECE
2|0|0.1618|0.38205|0.34218|0.01475|PREVAIL COFFEE / USA
2|0|0.16446|0.34443|0.35544|0.01604|MOK COFFEE / BELGIUM
2|0|0.1618|0.30669|0.59682|0.01603|AZURA - THE COFFEE COMPANY / OMAN
2|0|0.1618|0.27035|0.28647|0.01475|PUKU PUKU / PERU
2|0|0.15915|0.23227|0.45623|0.01482|THE GOLDEN PIG / HONDURAS
2|0|0.1618|0.19465|0.54377|0.01611|LITTLE VICTORIES COFFEE / CANADA
2|0|0.1618|0.15843|0.28382|0.01453|PUSH X PULL / USA
2|0|0.1618|0.12064|0.40584|0.01612|GALANI COFFEE / ETHIOPIA
2|0|0.1618|0.08249|0.25995|0.01664|WAKE UP / CHILE
2|0|0.1618|0.04631|0.29178|0.01474|BOUCHE / BELGIUM
2|0|0.8435|0.94767|0.09284|0.00746|NEW ENTRY
2|0|0.8435|0.911|0.09284|0.00796|NEW ENTRY
2|0|0.8435|0.87192|0.09284|0.00889|NEW ENTRY
2|0|0.8435|0.83575|0.09284|0.00873|NEW ENTRY
2|0|0.95455|0.825|0.03788|0.025|7
2|0|0.8435|0.76017|0.09284|0.009|NEW ENTRY
2|0|0.8435|0.72214|0.09284|0.00896|NEW ENTRY
2|0|0.8435|0.68596|0.09284|0.00881|NEW ENTRY
2|0|0.84085|0.64826|0.09549|0.00876|NEW ENTRY
2|0|0.8435|0.57236|0.09284|0.00904|NEW ENTRY
2|0|0.8435|0.53618|0.09284|0.00888|NEW ENTRY
2|0|0.8435|0.46076|0.09284|0.00885|NEW ENTRY
2|0|0.8435|0.31105|0.09284|0.00878|NEW ENTRY
2|0|0.8435|0.19899|0.09284|0.00886|NEW ENTRY
2|0|0.8435|0.08576|0.09549|0.00903|NEW ENTRY
2|1|-0.0|0.94767|0.03448|0.00727|ITRY
2|1|-0.0|0.90843|0.03448|0.01017|ITRY
2|1|0.0|0.87209|0.03448|0.00872|ITRY
2|1|0.0|0.83576|0.03448|0.00872|ITRY
2|1|-0.0|0.76017|0.03448|0.00727|ITRY
2|1|0.0|0.71948|0.03448|0.01163|TRY
2|1|0.0|0.68314|0.03448|0.01163|ITRY
2|1|0.0|0.64826|0.03448|0.00872|ITRY
2|1|0.0|0.57267|0.03448|0.00872|ITRY
2|1|0.0|0.53634|0.03448|0.00872|ITRY
2|1|0.0|0.46076|0.03448|0.00872|ITRY
2|1|0.0|0.31105|0.03448|0.00872|ITRY
2|1|0.0|0.19622|0.03183|0.01163|ITRY
2|1|-0.0|0.08576|0.03448|0.00872|ITRY
2|1|0.11936|0.94331|0.44297|0.01617|CAFÉ DE REYES / GUATEMALA
2|1|0.11936|0.90521|0.46684|0.01664|SAVAYA COFFEE MARKET / USA
2|1|0.11936|0.86758|0.54111|0.01614|COFFEE STOPOVER BLACK / TAIWAN
2|1|0.79841|0.87192|0.09549|0.00744|NEW ENTRY
2|1|0.11936|0.8314|0.32891|0.01453|FUKU / NETHERLANDS
2|1|0.11671|0.7936|0.59682|0.01464|THE MINERS COFFEE / CZECH REPUBLIC
2|1|0.11936|0.75581|0.35809|0.01626|CUPPING CAFÉ / BRAZIL
2|1|0.11936|0.71925|0.5252|0.01476|COFFEA GUATEMALA / GUATEMALA
2|1|0.79841|0.72214|0.09549|0.00896|NEW ENTRY
2|1|0.11936|0.68017|0.75066|0.01605|D•ORIGEN COFFEE ROASTERS BARCELONA / SPAIN
2|1|0.11936|0.6439|0.38992|0.01457|COFFEE STAIN / MALAYSIA
2|1|0.79841|0.64826|0.09549|0.00876|NEW ENTRY
2|1|0.11936|0.6061|0.77454|0.01618|THE DUDE SPECIALTY COFFEE / NORTH MACEDONIA
2|1|0.11936|0.56802|0.46154|0.01664|STORY AND SOIL COFFEE / USA
2|1|0.11936|0.53184|0.38992|0.01613|EXPLORADORES / MEXICO
2|1|0.79841|0.53473|0.09549|0.00887|NEW ENTRY
2|1|0.11671|0.49419|0.35544|0.01599|THE FOLKS / PORTUGAL
2|1|0.12202|0.4593|0.46154|0.0161|CASA BARISTA & CO., / DOMINICAN
2|1|0.11671|0.44913|0.27056|0.0118|CASCO HISTORICO
2|1|0.45623|0.45349|0.10875|0.00872|REPUBLIC
2|1|0.79841|0.4593|0.09549|0.00886|NEW ENTRY
2|1|0.11936|0.42006|0.49337|0.01482|CYPHER URBAN ROASTERY / UAE
2|1|0.79841|0.42297|0.09549|0.00902|NEW ENTRY
2|1|0.11936|0.38205|0.3634|0.01475|CAFETANO / HONDURAS
2|1|0.11936|0.34443|0.32626|0.01458|COFFEE FIVE / BRAZIL
2|1|0.80106|0.34877|0.09284|0.00879|NEW ENTRY
2|1|0.11936|0.30814|0.3183|0.01458|KIMA COFFEE / SPAIN
2|1|0.11936|0.27035|0.30769|0.01475|NEGRO / ARGENTINA
2|1|0.11936|0.23227|0.20159|0.01482|METRIC / USA
2|1|0.79841|0.23661|0.09549|0.00757|NEW ENTRY
2|1|0.11936|0.19465|0.50663|0.01611|EL TERRIBLE JUAN CAFÉ / MEXICO
2|1|0.11936|0.15698|0.60477|0.01599|FLAT WHITE SPECIALTY COFFEE / QATAR
2|1|0.79841|0.16134|0.09549|0.00872|NEW ENTRY
2|1|0.11936|0.12064|0.38196|0.01467|CAFEOTECA / COSTA RICA
2|1|0.11936|0.08249|0.54907|0.01664|SURRY HILLS PALERMO / ARGENTINA
2|1|0.11671|0.04486|0.4748|0.01618|VACATION COFFEE / AUSTRALIA
